Indicator,Country/area, 2 000, 2 001, 2 002, 2 003, 2 004, 2 005, 2 006, 2 007, 2 008, 2 009, 2 010, 2 011, 2 012, 2 013, 2 014, 2 015, 2 016, 2 017, 2 018, 2 019,
Electricity generation (GWh),China, 222 955, 278 132, 288 813, 284 694, 354 852, 401 114, 442 586, 496 290, 606 279, 654 484, 780 008, 783 049, 994 392,1 086 041,1 269 856,1 381 355,1 522 405,1 645 371,1 811 174,,
Electricity generation (GWh),Australia, 17 590, 18 162, 17 874, 18 619, 18 683, 20 103, 21 641, 21 012, 19 725, 18 601, 21 720, 26 273, 26 318, 32 702, 36 112, 33 422, 37 152, 40 205, 44 443,,
